url,title,text,conn_type,depth
https://www.youtube.com/aljazeeraenglish,Al Jazeera English - YouTube,"if (window.ytcsi) {window.ytcsi.tick('pdc', null, '');} var ytInitialData = {""responseContext"":{""serviceTrackingParams"":[{""service"":""GFEEDBACK"",""params"":[{""key"":""route"",""value"":""channel.""},{""key"":""is_owner"",""value"":""false""},{""key"":""is_alc_surface"",""value"":""false""},{""key"":""browse_id"",""value"":""UCNye-wNBqNL5ZzHSJj3l8Bg""},{""key"":""browse_id_prefix"",""value"":""""},{""key"":""logged_in"",""value"":""0""},{""key"":""visitor_data"",""value"":""Cgs5ZXRLS3JhUlpTYyiqxdbIBjIKCgJQSxIEGgAgOQ%3D%3D""}]},{""service"":""GOOGLE_HELP"",""",Direct,2
https://www.facebook.com/aljazeera,Al Jazeera English | Doha  | Facebook,"{""require"":[[""qplTimingsServerJS"",null,null,[""7572137226240206049"",""splash_screen_show""]]]} {""require"":[[""maybeDisableAnimations"",null,null,[]]]} {""require"":[[""replaceNativeTimer"",null,null,[]]]} {""require"":[[""bootstrapWebSession"",null,null,[1763025584]]]} {""require"":[[""qplTagServerJS"",null,null,[[""comet_preloader_display_threads:2"",""comet_preloader_deferred_threads:0"",""comet_aa_coinflip:true"",""should_use_bt_safe_js"",""logged_out""]]]]} {""require"":[[""qplTimingsServerJS"",null,null,[""757213722624020",Direct,2
https://www.aljazeera.com/latin-america/,Latin America News | Today's latest from Al Jazeera,"[4,0,2,39] {""namedChunks"":[""section-route""]} Advertisement Skip links Skip to Featured Content Skip to Content Feed play Live Sign up Enrich your Al Jazeera experience by signing in or creating an account. Close Tooltip Close navigation menu Navigation menu News Show more news sections Africa Asia US & Canada Latin America Europe Asia Pacific Middle East Explained Opinion Sport Video More Show more sections Features Economy Human Rights Climate Crisis Investigations Interactives In Pictures Scie",Direct,1
https://privacy.aljazeera.net/cookie/,Cookie Policy – Al Jazeera Privacy,Skip to content Facebook Twitter Email Home Our Network Al Jazeera Media Institute Al Jazeera Centre for Studies Al Jazeera Centre for Public Liberties & Human Rights Al Jazeera Forum Our Channels Al Jazeera English Al Jazeera Arabic Al Jazeera Balkans Al Jazeera Mubasher Al Jazeera Documentary AJ+ AJ+ Arabi AJ+ Español AJ+ French Careers How to Watch Submit Privacy Request Data Access Request Home Our Network Al Jazeera Media Institute Al Jazeera Centre for Studies Al Jazeera Centre for Public ,Direct,2
https://www.instagram.com/aljazeeraenglish/?hl=en,Al Jazeera English (@aljazeeraenglish) • Instagram photos and videos,"{""require"":[[""qplTimingsServerJS"",null,null,[""7572137260207444373"",""splash_screen_show""]]]} {""require"":[[""maybeDisableAnimations"",null,null,[]]]} {""require"":[[""replaceNativeTimer"",null,null,[]]]} {""require"":[[""bootstrapWebSession"",null,null,[1763025592]]]} {""require"":[[""qplTagServerJS"",null,null,[[""ig_web_desktop_homepage_fb_connect_v2:test"",""comet_aa_coinflip:false"",""should_use_bt_safe_js"",""logged_out""]]]]} {""require"":[[""qplTimingsServerJS"",null,null,[""7572137260207444373"",""tierOne""]]]} {""requi",Direct,2
https://www.aljazeera.com/europe/,Europe News | Today's latest from Al Jazeera,"[4,0,2,39] {""namedChunks"":[""section-route""]} Advertisement Skip links Skip to Featured Content Skip to Content Feed play Live Sign up Enrich your Al Jazeera experience by signing in or creating an account. Close Tooltip Close navigation menu Navigation menu News Show more news sections Africa Asia US & Canada Latin America Europe Asia Pacific Middle East Explained Opinion Sport Video More Show more sections Features Economy Human Rights Climate Crisis Investigations Interactives In Pictures Scie",Direct,1
https://www.instagram.com/aljazeeraenglish/?hl=en,Al Jazeera English (@aljazeeraenglish) • Instagram photos and videos,"{""require"":[[""qplTimingsServerJS"",null,null,[""7572137282537392711"",""splash_screen_show""]]]} {""require"":[[""maybeDisableAnimations"",null,null,[]]]} {""require"":[[""replaceNativeTimer"",null,null,[]]]} {""require"":[[""bootstrapWebSession"",null,null,[1763025597]]]} {""require"":[[""qplTagServerJS"",null,null,[[""ig_web_desktop_homepage_fb_connect_v2:test"",""comet_aa_coinflip:true"",""should_use_bt_safe_js"",""logged_out""]]]]} {""require"":[[""qplTimingsServerJS"",null,null,[""7572137282537392711"",""tierOne""]]]} {""requir",Direct,2
https://www.aljazeera.com/asia-pacific/,Asia Pacific | Today's latest from Al Jazeera,"[3,4,0,2,26] {""namedChunks"":[""topic-route""]} Advertisement Skip links Skip to Featured Content Skip to Content Feed play Live Sign up Enrich your Al Jazeera experience by signing in or creating an account. Close Tooltip Close navigation menu Navigation menu News Show more news sections Africa Asia US & Canada Latin America Europe Asia Pacific Middle East Explained Opinion Sport Video More Show more sections Features Economy Human Rights Climate Crisis Investigations Interactives In Pictures Scie",Direct,1
https://www.youtube.com/aljazeeraenglish,Al Jazeera English - YouTube,"if (window.ytcsi) {window.ytcsi.tick('pdc', null, '');} var ytInitialData = {""responseContext"":{""serviceTrackingParams"":[{""service"":""GFEEDBACK"",""params"":[{""key"":""route"",""value"":""channel.""},{""key"":""is_owner"",""value"":""false""},{""key"":""is_alc_surface"",""value"":""false""},{""key"":""browse_id"",""value"":""UCNye-wNBqNL5ZzHSJj3l8Bg""},{""key"":""browse_id_prefix"",""value"":""""},{""key"":""logged_in"",""value"":""0""},{""key"":""visitor_data"",""value"":""Cgs5ZXRLS3JhUlpTYyjAxdbIBjIKCgJQSxIEGgAgOQ%3D%3D""}]},{""service"":""GOOGLE_HELP"",""",Direct,2
https://privacy.aljazeera.net/cookie/,Cookie Policy – Al Jazeera Privacy,Skip to content Facebook Twitter Email Home Our Network Al Jazeera Media Institute Al Jazeera Centre for Studies Al Jazeera Centre for Public Liberties & Human Rights Al Jazeera Forum Our Channels Al Jazeera English Al Jazeera Arabic Al Jazeera Balkans Al Jazeera Mubasher Al Jazeera Documentary AJ+ AJ+ Arabi AJ+ Español AJ+ French Careers How to Watch Submit Privacy Request Data Access Request Home Our Network Al Jazeera Media Institute Al Jazeera Centre for Studies Al Jazeera Centre for Public ,Direct,2
https://privacy.aljazeera.net/cookie/,Cookie Policy – Al Jazeera Privacy,Skip to content Facebook Twitter Email Home Our Network Al Jazeera Media Institute Al Jazeera Centre for Studies Al Jazeera Centre for Public Liberties & Human Rights Al Jazeera Forum Our Channels Al Jazeera English Al Jazeera Arabic Al Jazeera Balkans Al Jazeera Mubasher Al Jazeera Documentary AJ+ AJ+ Arabi AJ+ Español AJ+ French Careers How to Watch Submit Privacy Request Data Access Request Home Our Network Al Jazeera Media Institute Al Jazeera Centre for Studies Al Jazeera Centre for Public ,Direct,2
